gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,0,1,0,-1.2827281667186554,0,1,0,0,2,0,0,0,0,0,1,2,-1.1641353596911748,-0.9980614870300027,0
1,0,0,0,0.06238689314432279,1,0,0,2,0,2,0,0,0,1,0,3,-0.2628107638888189,-0.17698148902098762,0
1,0,0,0,-1.2419671042985652,1,0,0,2,2,0,0,0,0,0,1,3,-0.36591431543816594,-0.9634901624021932,1
1,0,0,0,0.5107585797653155,0,1,0,2,0,2,2,0,0,1,0,0,-0.7500581929849266,-0.19850578117431728,0
0,0,0,0,-1.2419671042985652,1,0,1,0,0,0,0,0,0,0,1,2,0.19450337604780069,-0.944283870942299,1
0,0,0,0,-0.9974007297780236,1,2,1,0,0,2,0,2,2,0,1,2,1.1573575106779928,-0.6489705825986163,1
1,0,0,1,-0.4267458558967602,1,2,1,0,2,0,0,2,0,0,1,1,0.8064728433084405,-0.15053420491874256,0
0,0,0,0,-0.9158786049378431,0,1,0,2,0,0,0,0,0,0,0,3,-1.1674612807088958,-0.877944898715883,0
0,0,1,0,-0.1821794813762187,1,2,1,0,0,2,2,2,2,0,1,2,1.3286424430906172,0.3336630256443131,1
1,0,0,1,1.2036966409068497,1,0,0,2,2,0,0,0,0,1,0,0,-0.28941813203058603,0.5287724554403411,0
1,0,1,1,-0.7935954176775724,1,0,0,2,0,0,0,0,0,0,1,3,-0.4956252351292798,-0.7518677371900722,0
1,0,0,0,-0.6713122304173017,1,0,2,1,1,1,1,1,1,2,0,1,-1.5266607506227494,-0.8669509525698748,0
1,0,1,0,1.0406523912264887,1,2,1,0,0,2,0,2,2,1,0,1,1.1806389578020384,1.4971006879752116,0
1,0,0,0,0.6738028294456765,1,2,1,0,2,2,0,2,2,0,1,0,1.2920573118956877,1.2124060504271712,1
1,0,0,0,-0.3044626686364894,1,0,1,2,0,2,2,2,2,0,1,2,1.3519238902146633,0.17471440666587876,0
0,0,1,1,1.4890240778474815,1,2,1,2,2,2,2,2,2,2,0,1,1.6096827690880309,2.4746567708896627,0
0,0,0,0,0.7960860167059473,1,0,2,1,1,1,1,1,1,1,0,3,-1.4701200933214948,-0.5595840606203273,0
1,0,0,1,1.570546202687662,1,2,1,2,0,2,0,2,2,2,0,0,1.391834942427314,2.2481991412395548,0
0,0,1,1,-0.9158786049378431,1,0,0,0,0,2,2,0,0,0,0,1,-0.32101438169893415,-0.7779618021390319,1
0,0,0,0,-0.46750691831685043,1,0,1,0,2,2,0,0,2,0,1,2,0.8380690929767889,-0.18872602586772746,0
1,1,0,0,-1.2827281667186554,0,1,0,0,0,2,0,0,2,0,1,2,-0.8381950999545296,-0.9937345524022564,1
1,0,1,0,-0.8343564800976626,1,0,2,1,1,1,1,1,1,1,0,0,-1.4983904219721222,-0.9219427594969969,0
